"Year","Month","date","tube","temperature"
2018,"February",2018-02-01,"Northern",21.4
2018,"March",2018-03-01,"Northern",21.49
2018,"April",2018-04-01,"Northern",23.26
2018,"May",2018-05-01,"Northern",24.99
2018,"June",2018-06-01,"Northern",NA
2018,"July",2018-07-01,"Northern",NA
2013,"January",2013-01-01,"Piccadilly",19.3
2013,"February",2013-02-01,"Piccadilly",19
2013,"March",2013-03-01,"Piccadilly",18.7
2013,"April",2013-04-01,"Piccadilly",20.3
2013,"May",2013-05-01,"Piccadilly",22.4
2013,"June",2013-06-01,"Piccadilly",24.2
2013,"July",2013-07-01,"Piccadilly",27.5
2013,"August",2013-08-01,"Piccadilly",27.4
2013,"September",2013-09-01,"Piccadilly",26.1
2013,"October",2013-10-01,"Piccadilly",25.1
2013,"November",2013-11-01,"Piccadilly",22.4
2013,"December",2013-12-01,"Piccadilly",21
2014,"January",2014-01-01,"Piccadilly",20.6
2014,"February",2014-02-01,"Piccadilly",20
2014,"March",2014-03-01,"Piccadilly",21.5
2014,"April",2014-04-01,"Piccadilly",22.9
2014,"May",2014-05-01,"Piccadilly",24
2014,"June",2014-06-01,"Piccadilly",26.1
2014,"July",2014-07-01,"Piccadilly",27.8
2014,"August",2014-08-01,"Piccadilly",27.2
2014,"September",2014-09-01,"Piccadilly",26.9
2014,"October",2014-10-01,"Piccadilly",25.4
2014,"November",2014-11-01,"Piccadilly",23.3
2014,"December",2014-12-01,"Piccadilly",21.1
2015,"January",2015-01-01,"Piccadilly",19.98
2015,"February",2015-02-01,"Piccadilly",19.12
2015,"March",2015-03-01,"Piccadilly",19.82
2015,"April",2015-04-01,"Piccadilly",21.64
2015,"May",2015-05-01,"Piccadilly",22.89
2015,"June",2015-06-01,"Piccadilly",24.76
2015,"July",2015-07-01,"Piccadilly",26.22
2015,"August",2015-08-01,"Piccadilly",26.15
2015,"September",2015-09-01,"Piccadilly",24.28
2015,"October",2015-10-01,"Piccadilly",22.13
2015,"November",2015-11-01,"Piccadilly",22.59
2015,"December",2015-12-01,"Piccadilly",22.61
2016,"January",2016-01-01,"Piccadilly",21.16
2016,"February",2016-02-01,"Piccadilly",20.26
2016,"March",2016-03-01,"Piccadilly",19.66
2016,"April",2016-04-01,"Piccadilly",21.08
2016,"May",2016-05-01,"Piccadilly",23.39
2016,"June",2016-06-01,"Piccadilly",24.68
2016,"July",2016-07-01,"Piccadilly",26.49
2016,"August",2016-08-01,"Piccadilly",27.3
2016,"September",2016-09-01,"Piccadilly",27.07
2016,"October",2016-10-01,"Piccadilly",24.59
2016,"November",2016-11-01,"Piccadilly",21.83
2016,"December",2016-12-01,"Piccadilly",20.5
2017,"January",2017-01-01,"Piccadilly",18.9
2017,"February",2017-02-01,"Piccadilly",19.69
2017,"March",2017-03-01,"Piccadilly",21.28
2017,"April",2017-04-01,"Piccadilly",22.67
2017,"May",2017-05-01,"Piccadilly",23.82
2017,"June",2017-06-01,"Piccadilly",26.35
2017,"July",2017-07-01,"Piccadilly",27.18
2017,"August",2017-08-01,"Piccadilly",26.81
2017,"September",2017-09-01,"Piccadilly",25.69
2017,"October",2017-10-01,"Piccadilly",24.67
2017,"November",2017-11-01,"Piccadilly",22.34
2017,"December",2017-12-01,"Piccadilly",20.27
2018,"January",2018-01-01,"Piccadilly",20.02
2018,"February",2018-02-01,"Piccadilly",19.04
2018,"March",2018-03-01,"Piccadilly",19.31
2018,"April",2018-04-01,"Piccadilly",21.89
2018,"May",2018-05-01,"Piccadilly",NA
2018,"June",2018-06-01,"Piccadilly",NA
2018,"July",2018-07-01,"Piccadilly",NA
2013,"January",2013-01-01,"Victoria",18.4
2013,"February",2013-02-01,"Victoria",18.3
2013,"March",2013-03-01,"Victoria",17.7
2013,"April",2013-04-01,"Victoria",19.6
2013,"May",2013-05-01,"Victoria",21.5
2013,"June",2013-06-01,"Victoria",23.3
2013,"July",2013-07-01,"Victoria",26.5
2013,"August",2013-08-01,"Victoria",26.6
2013,"September",2013-09-01,"Victoria",25.1
2013,"October",2013-10-01,"Victoria",24.1
2013,"November",2013-11-01,"Victoria",21.5
2013,"December",2013-12-01,"Victoria",20
2014,"January",2014-01-01,"Victoria",19.6
2014,"February",2014-02-01,"Victoria",19.2
2014,"March",2014-03-01,"Victoria",20.6
2014,"April",2014-04-01,"Victoria",22.1
2014,"May",2014-05-01,"Victoria",23.2
2014,"June",2014-06-01,"Victoria",25.1
2014,"July",2014-07-01,"Victoria",27.2
2014,"August",2014-08-01,"Victoria",26.5
2014,"September",2014-09-01,"Victoria",26.1
2014,"October",2014-10-01,"Victoria",24.8
2014,"November",2014-11-01,"Victoria",23.1
2014,"December",2014-12-01,"Victoria",20.9
2015,"January",2015-01-01,"Victoria",19.69
2015,"February",2015-02-01,"Victoria",18.96
2015,"March",2015-03-01,"Victoria",20.03
2015,"April",2015-04-01,"Victoria",21.97
2015,"May",2015-05-01,"Victoria",23.06
2015,"June",2015-06-01,"Victoria",24.92
2015,"July",2015-07-01,"Victoria",26.35
